Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Urinary Tract Infection,"blood in urine, fever, frequent urination, pelvic pain, burning during urination, cloudy urine",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Appendicitis,"severe abdominal bloating, worsening severe abdominal pain (lower right), fever, constipation, loss of appetite",Severe,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Osteoporosis,"persistent loss of height, severe stooped posture, back pain, bone fractures easily",Severe,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Urinary Tract Infection,"frequent urination, mild lower back pain, mild cloudy urine, pelvic pain, urgent urination, blood in urine",Mild,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Hypothyroidism,"occasional depression, slight dry skin, muscle weakness",Mild,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Migraine,"visual aura, severe headache, occasional sensitivity to sound, mild throbbing pain, sensitivity to light, occasional vomiting, nausea",Mild,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Dengue,"joint pain, persistent high fever, intense pain behind eyes, rash",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
COVID-19,"intense dry cough, extreme loss of taste, shortness of breath, muscle aches, fever, worsening loss of smell",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Hypertension,"dizziness, flushing, headache",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Appendicitis,"loss of appetite, severe abdominal pain (lower right), abdominal bloating, nausea",Severe,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Dengue,"joint pain, severe high fever, rash",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Jaundice,"worsening abdominal pain, yellow eyes, persistent dark urine, extreme confusion, pale stools, itching",Severe,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Hepatitis C,"confusion, bleeding easily, jaundice, easy bruising, fatigue, fluid buildup in abdomen, spider-like blood vessels",Moderate,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Anxiety Disorder,"irritability, slight restlessness, difficulty concentrating",Mild,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Arthritis,"joint swelling, joint pain, morning stiffness, warmth around joints, fatigue, fever, joint stiffness",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Migraine,"nausea, persistent vomiting, worsening sensitivity to sound, sensitivity to light, throbbing pain, severe headache, intense visual aura",Severe,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Arthritis,"fatigue, joint pain, warmth around joints",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Hepatitis A,"fatigue, low-grade fever, clay-colored stools",Moderate,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Hyperthyroidism,"anxiety, tremor, mild difficulty sleeping, slight bulging eyes, slight diarrhea",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Arthritis,"joint pain, fatigue, joint swelling, reduced range of motion, morning stiffness, fever",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Hepatitis A,"abdominal pain, worsening vomiting, fatigue, nausea, jaundice, low-grade fever",Severe,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Migraine,"sensitivity to light, severe headache, nausea",Moderate,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Jaundice,"yellow skin, itching, dark urine, yellow eyes",Moderate,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Tuberculosis,"blood in sputum, loss of appetite, weight loss, fever",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
